id;code;intitule;description;credits
1;under huzzah;vengeful honestly;../fake-data/blob/hipster.txt;2
2;including quarrelsomely active;disrespect urgently;../fake-data/blob/hipster.txt;12
3;air digit;traumatize;../fake-data/blob/hipster.txt;5
4;officially;nor brr given;../fake-data/blob/hipster.txt;20
5;nor colony;alongside functional;../fake-data/blob/hipster.txt;11
6;political;until violet;../fake-data/blob/hipster.txt;24
7;lumber likely;studio conversion;../fake-data/blob/hipster.txt;22
8;quirkily gosh;gust;../fake-data/blob/hipster.txt;28
9;woot torn;stem;../fake-data/blob/hipster.txt;5
10;utter incidentally enormously;astride;../fake-data/blob/hipster.txt;24
