id;numero_employe;date_embauche;specialite;bureau
1;however console meh;2024-08-14;bleakly athwart;since
2;rostrum upon;2024-08-15;until ouch venue;past
3;blaring;2024-08-15;shrilly noisily;hungrily snag
4;hungrily beneath;2024-08-15;sparkle meet;ah improbable grass
5;astride founder;2024-08-14;easily astride ew;why truthfully
6;clearly;2024-08-15;divider excited;frame tensely builder
7;tenderly yuck rowdy;2024-08-15;ew instead;underneath poorly um
8;yum cheek curler;2024-08-14;however while;since dulcimer
9;conceptualize frightfully;2024-08-14;next;since ah
10;since hunker eek;2024-08-15;overreact impressionable replicate;boohoo
